| OpenMP mode | # teams | # threads | # threads per team | # particles | # calculations | average calculation time (s) | average total time (s) |
| gpu         | 110     | 880       | 8                  | 1000000     | 100            | 1.456700e-03                 | 2.873358e-02           |
| gpu         | 111     | 888       | 8                  | 1000000     | 100            | 1.453674e-03                 | 2.877295e-02           |
| gpu         | 112     | 896       | 8                  | 1000000     | 100            | 1.451259e-03                 | 2.875288e-02           |
| gpu         | 113     | 904       | 8                  | 1000000     | 100            | 1.447598e-03                 | 2.872501e-02           |
| gpu         | 114     | 912       | 8                  | 1000000     | 100            | 1.443184e-03                 | 2.872676e-02           |
| gpu         | 115     | 920       | 8                  | 1000000     | 100            | 1.439291e-03                 | 2.871349e-02           |
| gpu         | 116     | 928       | 8                  | 1000000     | 100            | 1.437708e-03                 | 2.871227e-02           |
| gpu         | 117     | 936       | 8                  | 1000000     | 100            | 1.436019e-03                 | 2.869998e-02           |
| gpu         | 118     | 944       | 8                  | 1000000     | 100            | 1.431757e-03                 | 2.870960e-02           |
| gpu         | 119     | 952       | 8                  | 1000000     | 100            | 1.432467e-03                 | 2.872815e-02           |
| gpu         | 120     | 960       | 8                  | 1000000     | 100            | 1.429708e-03                 | 2.871432e-02           |
| gpu         | 121     | 968       | 8                  | 1000000     | 100            | 1.426542e-03                 | 2.872952e-02           |
| gpu         | 122     | 976       | 8                  | 1000000     | 100            | 1.427587e-03                 | 2.871744e-02           |
| gpu         | 123     | 984       | 8                  | 1000000     | 100            | 1.425541e-03                 | 2.870347e-02           |
| gpu         | 124     | 992       | 8                  | 1000000     | 100            | 1.422716e-03                 | 2.877171e-02           |
| gpu         | 125     | 1000      | 8                  | 1000000     | 100            | 1.424305e-03                 | 2.886257e-02           |
| gpu         | 126     | 1008      | 8                  | 1000000     | 100            | 1.424436e-03                 | 2.873212e-02           |
| gpu         | 127     | 1016      | 8                  | 1000000     | 100            | 1.418759e-03                 | 2.870657e-02           |
| gpu         | 128     | 1024      | 8                  | 1000000     | 100            | 1.419306e-03                 | 2.874173e-02           |
| gpu         | 129     | 1032      | 8                  | 1000000     | 100            | 1.625222e-03                 | 3.168472e-02           |
| gpu         | 130     | 1040      | 8                  | 1000000     | 100            | 1.623630e-03                 | 3.169134e-02           |
| gpu         | 131     | 1048      | 8                  | 1000000     | 100            | 1.624532e-03                 | 3.173818e-02           |
| gpu         | 132     | 1056      | 8                  | 1000000     | 100            | 1.625144e-03                 | 3.171432e-02           |
| gpu         | 133     | 1064      | 8                  | 1000000     | 100            | 1.623427e-03                 | 3.177023e-02           |
| gpu         | 134     | 1072      | 8                  | 1000000     | 100            | 1.623000e-03                 | 3.175333e-02           |
| gpu         | 135     | 1080      | 8                  | 1000000     | 100            | 1.626090e-03                 | 3.182152e-02           |
| gpu         | 136     | 1088      | 8                  | 1000000     | 100            | 1.624364e-03                 | 3.182318e-02           |
| gpu         | 137     | 1096      | 8                  | 1000000     | 100            | 1.667989e-03                 | 3.191035e-02           |
| gpu         | 138     | 1104      | 8                  | 1000000     | 100            | 1.679888e-03                 | 3.193793e-02           |
| gpu         | 139     | 1112      | 8                  | 1000000     | 100            | 1.678356e-03                 | 3.199132e-02           |
| gpu         | 140     | 1120      | 8                  | 1000000     | 100            | 1.699735e-03                 | 3.202085e-02           |
| gpu         | 141     | 1128      | 8                  | 1000000     | 100            | 1.695700e-03                 | 3.206543e-02           |
| gpu         | 142     | 1136      | 8                  | 1000000     | 100            | 1.688458e-03                 | 3.207181e-02           |
| gpu         | 143     | 1144      | 8                  | 1000000     | 100            | 1.689231e-03                 | 3.219439e-02           |
| gpu         | 144     | 1152      | 8                  | 1000000     | 100            | 1.687080e-03                 | 3.225806e-02           |
| gpu         | 145     | 1160      | 8                  | 1000000     | 100            | 1.685841e-03                 | 3.218898e-02           |
| gpu         | 146     | 1168      | 8                  | 1000000     | 100            | 1.690369e-03                 | 3.216994e-02           |
| gpu         | 147     | 1176      | 8                  | 1000000     | 100            | 1.691420e-03                 | 3.226856e-02           |
| gpu         | 148     | 1184      | 8                  | 1000000     | 100            | 1.690905e-03                 | 3.228219e-02           |
| gpu         | 149     | 1192      | 8                  | 1000000     | 100            | 1.690491e-03                 | 3.232842e-02           |
| gpu         | 150     | 1200      | 8                  | 1000000     | 100            | 1.693562e-03                 | 3.233814e-02           |
| gpu         | 151     | 1208      | 8                  | 1000000     | 100            | 1.695814e-03                 | 3.238465e-02           |
| gpu         | 152     | 1216      | 8                  | 1000000     | 100            | 1.694449e-03                 | 3.233826e-02           |
| gpu         | 153     | 1224      | 8                  | 1000000     | 100            | 1.697315e-03                 | 3.238648e-02           |
| gpu         | 154     | 1232      | 8                  | 1000000     | 100            | 1.699468e-03                 | 3.240184e-02           |
| gpu         | 155     | 1240      | 8                  | 1000000     | 100            | 1.701032e-03                 | 3.240812e-02           |
| gpu         | 156     | 1248      | 8                  | 1000000     | 100            | 1.701893e-03                 | 3.243598e-02           |
| gpu         | 157     | 1256      | 8                  | 1000000     | 100            | 1.704166e-03                 | 3.242265e-02           |
